training_task,checkpoint_step,run_name,same_task_success,heldout_success,method,label
4,200,opd_rlteacher_adv0_nonorm_rps32_steps200_si25_task_4_seed2_spatial,0.771875,0.40437500000000004,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | no normalization
4,0,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,25,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.63125,0.426875,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,50,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.690625,0.409375,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,75,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.759375,0.433125,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,100,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.734375,0.425,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,125,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.75625,0.42124999999999996,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,150,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.76875,0.41624999999999995,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,175,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.753125,0.42000000000000004,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,200,opd_rlteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.753125,0.40125,OPD,OPD (RL Teacher) | GRPO loss | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,0,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
4,25,opd_rlteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,0.615625,0.42125,OPD,OPD (RL Teacher) | Task 4 | 32 rollouts/step | 200 steps | group z-score
