training_task,checkpoint_step,run_name,same_task_success,heldout_success,method,label
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.50625,0.388125,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.653125,0.37124999999999997,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,75,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.725,0.385625,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,100,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.73125,0.370625,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,125,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.73125,0.3575,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,150,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.771875,0.335,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,175,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.809375,0.361875,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,200,opd_sftteacher_adv1_group_zscore_success_gate_lam0p3_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.8375,0.35875,OPD,"Hybrid OPD | lambda=0.3, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,0,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.315625,0.398125,Base,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,25,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.575,0.38312500000000005,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,50,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.628125,0.3675,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,75,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.6875,0.361875,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,100,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.709375,0.36,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,125,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.734375,0.3625,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,150,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.74375,0.385,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,175,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.76875,0.35,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
4,200,opd_sftteacher_adv1_group_zscore_success_gate_lam1p0_thr0p0_rps32_task_4_seed2_spatial_norm_group_zscore,0.765625,0.340625,OPD,"Hybrid OPD | lambda=1.0, thr=0.0 | Task 4 | 32 rollouts/step | 200 steps | group z-score"
