training_task,checkpoint_step,run_name,train_seed,same_task_success,heldout_success,method
4,175,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.7,0.10687500000000001,OPD
4,200,opd_sftteacher_adv1_action_dim_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_action_dim_zscore,2,0.671875,0.105625,OPD
4,0,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.315625,0.398125,Base
4,50,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.5,0.36125,OPD
4,75,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.609375,0.373125,OPD
4,100,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.534375,0.3375,OPD
4,125,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.471875,0.29375,OPD
4,150,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.459375,0.268125,OPD
4,175,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.521875,0.26437499999999997,OPD
4,200,opd_sftteacher_adv1_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.503125,0.234375,OPD
4,0,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.134375,0.28500000000000003,OPD
4,50,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.14375,0.255625,OPD
4,75,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.26875,0.14125,OPD
4,100,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.7125,0.10874999999999999,OPD
4,125,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.5375,0.088125,OPD
4,150,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.575,0.08125,OPD
4,175,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.69375,0.09625,OPD
4,200,opd_sftteacher_adv1_positive_clip_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_positive_clip,2,0.7125,0.0975,OPD
4,0,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.49375,0.37937499999999996,OPD
4,50,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.484375,0.38,OPD
4,75,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.521875,0.37625000000000003,OPD
4,100,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.503125,0.35625,OPD
4,125,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.496875,0.325625,OPD
4,150,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.5375,0.31,OPD
4,175,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.546875,0.27937500000000004,OPD
4,200,opd_sftteacher_adv1_rps32_steps200_si25_task_4_seed2_spatial_norm_group_zscore,2,0.44375,0.25875,OPD
4,0,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0625,0.26999999999999996,OPD
4,50,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.123125,OPD
4,75,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.09875,OPD
4,100,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.094375,OPD
4,125,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.10562500000000001,OPD
4,150,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.103125,OPD
4,175,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.0,0.12125000000000001,OPD
4,200,opd_sftteacher_adv1_teacher_prob_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_teacher_prob,2,0.003125,0.134375,OPD
4,0,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.315625,0.398125,Base
4,25,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.3375,0.278125,OPD
4,50,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.4,0.244375,OPD
4,75,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.465625,0.16375,OPD
4,100,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.578125,0.150625,OPD
4,125,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.390625,0.15125,OPD
4,150,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.69375,0.11750000000000001,OPD
4,175,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.753125,0.134375,OPD
4,200,opd_sftteacher_adv1_token_zscore_grpo_loss_rps32_steps200_si25_task_4_seed2_spatial_norm_token_zscore,2,0.703125,0.10187500000000001,OPD
